satW,krw,krnw
0.74219,0.39474,
0.78183,0.35904,
0.80207,0.31846,
0.7449,0.36309,
0.76684,0.24297,
0.75026,0.26731,
0.68748,0.27216,
0.64127,0.24617,
0.61897,0.16986,
0.71323,0.21535,
0.72058,0.19506,
0.75021,0.23971,
0.69096,0.15528,
0.67065,0.15852,
0.68354,0.13498,
0.65766,0.12036,
0.6577,0.14309,
0.57553,0.14874,
0.58011,0.13007,
0.60406,0.10005,
0.62159,0.092752,
0.60871,0.11872,
0.54122,0.069184,
0.53206,0.10814,
0.46641,0.063476,
0.40356,0.030986,
0.42753,0.0082676,
0.48205,0.031826,
0.47098,0.035069,
0.51805,0.026968,
0.57812,0.049717,
0.52638,0.034276,
0.36196,0.0033744,
0.32318,0.002549,
0.30841,0.0025438,
0.30102,0.0025412,
0.24193,0.0073905,
0.21238,0.0057567,
0.18652,0.0041242,
0.16067,0.0041151,
0.12558,0.0041027,
0.096038,0.0057157,
0.38967,0.009066,
0.52276,0.074048,
0.1004,,0.86935
0.15258,,0.62262
0.24027,,0.60804
0.24024,,0.59262
0.2106,,0.54309
0.20678,,0.4741
0.30186,,0.45952
0.15782,,0.46028
0.21867,,0.40917
0.36344,,0.30126
0.40125,,0.27936
0.4298,,0.2396
0.39191,,0.21767
0.32267,,0.2282
0.33737,,0.18843
0.39371,,0.19251
0.42325,,0.19171
0.40372,,0.1154
0.48224,,0.13085
0.46745,,0.12598
0.49337,,0.16008
0.52748,,0.13006
0.5182,,0.10489
0.4655,,0.069158
0.52277,,0.082165
0.53941,,0.088664
0.5745,,0.093547
0.59664,,0.082191
0.57623,,0.030236
0.57996,,0.048094
0.62242,,0.039992
0.61871,,0.033497
0.64176,,0.014837
0.68793,,0.014041
0.65751,,0.043251
0.65845,,0.050557
0.7184,,0.012429
0.71102,,0.017296
0.75165,,0.01731
0.78117,,0.0059572
0.80703,,0.0059663
0.531,,0.039148
0.69074,,0.036769
0.6815,,0.031896
0.74424,,0.0059442
0.1386,0.000060608,
0.15759,0.00012386,
0.18664,0.00025546,
0.21793,0.00050847,
0.25368,0.0010397,
0.28497,0.0022425,
0.33078,0.0041209,
0.37323,0.0082788,
0.38888,0.009902,
0.41569,0.013187,
0.45145,0.022556,
0.4872,0.036897,
0.52854,0.062004,
0.58776,0.099709,
0.63692,0.16029,
0.68943,0.22541,
0.74083,0.31416,
0.78329,0.4112,
0.83245,0.52413,
0.87826,0.64455,
0.9196,0.74453,
0.94865,0.82952,
0.97323,0.89165,
1.0034,0.99346,
0.091671,,0.806
0.13972,,0.75166
0.15759,,0.70028
0.18664,,0.64686
0.21793,,0.57147
0.2548,,0.50949
0.28497,,0.47064
0.33078,,0.36063
0.37323,,0.28635
0.38888,,0.25511
0.41569,,0.23354
0.45256,,0.19912
0.4872,,0.16091
0.52966,,0.13723
0.58776,,0.10614
0.63692,,0.088142
0.69055,,0.061788
0.74083,,0.042543
0.78441,,0.027512
0.83357,,0.017637
0.87826,,0.010908
0.91848,,0.0061694
0.94753,,0.0034263
0.97212,,0.0018195
