Source,satW,Pc (Pa),scaled Pc,scaled Pc1
Raeesi,0.10909,17637,11200.10192,7.54E+03
Raeesi,0.11645,15151,9621.406374,6.48E+03
Raeesi,0.1238,12672,8047.156067,5.42E+03
Raeesi,0.38698,3199.9,2032.046615,1.37E+03
Raeesi,0.65108,1215.7,772.0113345,5.20E+02
Raeesi,0.13716,10195,6474.175829,4.36E+03
Raeesi,0.16587,7662,4865.633664,3.28E+03
Raeesi,0.23046,5191,3296.463632,2.22E+03
Raeesi,0.28549,4194.4,2663.588337,1.79E+03
Raeesi,0.46252,2699.3,1714.148388,1.15E+03
Raeesi,0.57576,2159.5,1371.356812,9.23E+02
Raeesi,0.63477,1702.7,1081.273093,7.28E+02
Lin,0.46143,2549.04396,1894.874231,1.28E+03
Lin,0.4813,2518.93481,1872.492093,1.26E+03
Lin,0.51797,2376.98936,1766.974582,1.19E+03
Lin,0.5277,2280.15428,1694.990614,1.14E+03
Lin,0.57537,2353.61764,1749.600825,1.18E+03
