satW,krw,krnw
0.14511,0,
0.4607,0.00306,
0.4812,0.00839,
0.5176,0.01371,
0.5265,0.02116,
0.5749,0.03141,
0.6171,0.06722,
0.25196,0,
0.46335,0.01128,
0.49039,0.02256,
0.51744,0.02498,
0.53523,0.03143,
0.5879,0.04835,
0.64199,0.06849,
0.61671,0.18351,
0.61308,0.16249,
0.5604,0.16572,
0.53497,0.15441,
0.51317,0.13662,
0.48592,0.0962,
0.60763,0.14147,
0.60218,0.14309,
0.604,0.12369,
0.5931,0.1059,
0.58946,0.09135,
0.54587,0.083266,
0.52679,0.072757,
0.46231,0.021827,
0.4287,0.032336,
0.39691,0.037995,
0.38238,0.025869,
0.35513,0.013743,
0.32607,0.012126,
0.28065,0.0056589,
0.42507,0.012126,
0.49682,0.028294,
0.51499,0.036378,
0.56767,0.063864,
0.43597,0.060631,
0.29655,0.0026438,
0.31228,0.0050056,
0.3977,0.013575,
0.43254,0.022356,
0.49099,0.036817,
0.52583,0.046368,
0.56741,0.083204,
0.59439,0.10093,
0.61686,0.15838,
0.61686,0.16532,
0.14432,,0.68558
0.46136,,0.17504
0.48117,,0.1402
0.5175,,0.09697
0.5265,,0.06368
0.575,,0.01643
0.61717,,0.00012
0.25125,,0.31023
0.46263,,0.07172
0.49039,,0.05721
0.53381,,0.01048
0.58861,,0.00725
0.64413,,0.00081
0.34605,,0.36783
0.31517,,0.36702
0.28247,,0.36297
0.28065,,0.31609
0.33333,,0.32094
0.42416,,0.29507
0.40781,,0.24818
0.38238,,0.25303
0.35513,,0.26273
0.32607,,0.25141
0.37965,,0.16896
0.42507,,0.15117
0.39691,,0.13339
0.42961,,0.12207
0.45322,,0.11075
0.4614,,0.16168
0.48592,,0.19159
0.51499,,0.14309
0.49773,,0.11479
0.43688,,0.074373
0.5604,,0.080032
0.58856,,0.04042
0.56585,,0.029911
0.5277,,0.023444
0.48592,,0.034762
0.56222,,0.0024252
0.54768,,0.0072757
0.53678,,0.004042
0.51408,,0.0080841
0.49591,,0.063864
0.50227,,0.046079
0.54678,,0.059014
0.60218,,0.0088925
0.62216,,0.004042
0.10436,,0.82198
0.29543,,0.45808
0.31341,,0.43649
0.39882,,0.27667
0.43254,,0.23937
0.49099,,0.16444
0.52583,,0.098784
0.56741,,0.045141
0.59439,,0.021189
